TYLER OBRIEN SHULTZ,3,,,,,,
Reference resistors:  ,,,,,,,
255,0,0,0,0,0,255,255
255,0,0,0,0,0,255,255
255,255,0,255,0,0,255,255
255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255
Iteration,Time,Sensor,Type,Value,,,
0,0,0,BSA,0,,,
0,1,1,BSA,0,,,
0,1,6,BSA,0,,,
0,1,7,BSA,0,,,
0,1,8,BSA,0,,,
0,1,9,BSA,0,,,
0,1,14,BSA,0,,,
0,1,15,BSA,0,,,
0,1,24,THC,0,,,
0,1,25,THC,0,,,
0,1,30,THC,0,,,
0,1,31,THC,0,,,
0,1,32,THC,0,,,
0,1,33,THC,0,,,
0,1,38,THC,0,,,
0,1,39,THC,0,,,
0,1,44,BSA,0,,,
0,1,64,BIOTIN,1,,,
0,1,65,BIOTIN,1,,,
0,1,69,THC,0,,,
0,1,70,BIOTIN,1,,,
0,1,71,BIOTIN,1,,,
0,1,72,BIOTIN,1,,,
0,1,73,BIOTIN,1,,,
0,1,78,BIOTIN,1,,,
0,1,79,BIOTIN,1,,,
1,1,0,BSA,0,,,
1,2,1,BSA,0,,,
1,2,6,BSA,0,,,
1,2,7,BSA,0,,,
1,2,8,BSA,0,,,
1,2,9,BSA,0,,,
1,2,14,BSA,0,,,
1,2,15,BSA,0,,,
1,2,24,THC,0,,,
1,2,25,THC,0,,,
1,2,30,THC,0,,,
1,2,31,THC,0,,,
1,2,32,THC,0,,,
1,2,33,THC,0,,,
1,2,38,THC,1,,,
1,2,39,THC,1,,,
1,2,44,BSA,0,,,
1,2,64,BIOTIN,2,,,
1,2,65,BIOTIN,2,,,
1,2,69,THC,1,,,
1,2,70,BIOTIN,2,,,
1,2,71,BIOTIN,2,,,
1,2,72,BIOTIN,2,,,
1,2,73,BIOTIN,2,,,
1,2,78,BIOTIN,3,,,
1,2,79,BIOTIN,3,,,
2,2,0,BSA,0,,,
2,3,1,BSA,0,,,
2,3,6,BSA,0,,,
2,3,7,BSA,0,,,
2,3,8,BSA,0,,,
2,3,9,BSA,0,,,
2,3,14,BSA,0,,,
2,3,15,BSA,0,,,
2,3,24,THC,0,,,
2,3,25,THC,0,,,
2,3,30,THC,1,,,
2,3,31,THC,1,,,
2,3,32,THC,1,,,
2,3,33,THC,1,,,
2,3,38,THC,1,,,
2,3,39,THC,1,,,
2,3,44,BSA,0,,,
2,3,64,BIOTIN,3,,,
2,3,65,BIOTIN,3,,,
2,3,69,THC,2,,,
2,3,70,BIOTIN,4,,,
2,3,71,BIOTIN,4,,,
2,3,72,BIOTIN,4,,,
2,3,73,BIOTIN,4,,,
2,3,78,BIOTIN,4,,,
